Sentence,Language,Structure,Tense
"গ্রুপ কাজে তোমার ধারণা শেয়ার করো, এবং অন্যদের কথাও মনোযোগ দিয়ে শোনো।",Bangla,Compound,Present
You will not ignore your responsibilities.,English,Simple,Future
"তারা অতিথিরা আসার আগে ঘর পরিষ্কার করেছিল, এবং সবাই ঘর দেখে মুগ্ধ হয়েছিল।",Bangla,Compound-complex,Past
"কারো কথা বলার সময় বাধা দিও না, এবং তোমার পালার জন্য অপেক্ষা করো।",Bangla,Compound,Present
তুমি কি শুক্রবার রাতে দেরিতে কাজ করো?,Bangla,Simple,Present
কত ধারালো ছুরি কাগজ কাটে দিয়েছিল!,Bangla,Simple,Past
"How fast the bike speeds as the wind rushes past, and how thrilling the ride feels!",English,Compound,Present
তুমি কত দুর্দান্ত একটি অবাক হওয়া পাবে!,Bangla,Simple,Future
"তারা ঘর পরিষ্কার করবে, এবং একসাথে কাজ করার সময় সঙ্গীত শুনবে।",Bangla,Compound-complex,Future
We exercise at the gym regularly.,English,Simple,Present
"Say “thank you” when someone helps you, and offer help in return.",English,Compound,Present
Check your email every morning to stay updated with important messages.,English,Complex,Present
You will not wear headphones during the lesson.,English,Simple,Future
How fast the cyclist pedals!,English,Simple,Present
তোমার জামাকাপড়ের যত্ন নাও যাতে সেগুলো বেশি দিন টিকে থাকে।,Bangla,Complex,Present
তারা কি প্রতি শনিবার বাড়ি পরিষ্কার করে?,Bangla,Simple,Present
তুমি অনুগ্রহ করে ঘোষণার সময় মনোযোগ দিয়ে শুনবে।,Bangla,Simple,Future
আমরা রবিবার ফুটবল খেলা দেখব।,Bangla,Simple,Future
"আমরা কি একসাথে জন্মদিন উদযাপন করি, নাকি সময়ের দ্বন্দ্ব হলে আলাদা আলাদাভাবে?",Bangla,Compound-complex,Present
সে কি চকোলেট আইসক্রিম পছন্দ করে?,Bangla,Simple,Present
সে কত সুস্বাদু একটি স্যুপ রান্না করবে!,Bangla,Simple,Future
You will not wear inappropriate clothes to school.,English,Simple,Future
I watched the sunset from my balcony while thinking about the day.,English,Complex,Past
বাচ্চারা স্কুল শেষে পার্কে খেলছে এবং প্রায়ই তাদের বন্ধুদেরও আমন্ত্রণ জানায় কারণ একসাথে খেলা আরো মজা।,Bangla,Compound-complex,Present
সে কি ভ্রমণের সময় ছবি তুলেছিল?,Bangla,Simple,Past
"Don’t forget to do your homework, and turn it in on time.",English,Compound,Present
"Pick up your litter to keep the environment clean, and throw it in the trash bin so animals don’t get hurt.",English,Compound-complex,Present
Can you explain if the bus stops near your house?,English,Complex,Present
How perfectly the sky will clear up for our trip!,English,Simple,Future
"They danced at the wedding until late at night, and they were tired but happy the next day.",English,Compound-complex,Past
"পাশ দিয়ে যাওয়ার সময় “মাফ করবেন” বলো, এবং ভদ্রভাবে হাসো।",Bangla,Compound,Present
How loudly the bells rang from the church tower!,English,Simple,Past
বসন্তে ফুলগুলো কত সুন্দরভাবে ফুটবে!,Bangla,Simple,Future
সে কত কঠোর পরিশ্রম করবে হাসপাতালে!,Bangla,Simple,Future
You will please prefer tea over coffee.,English,Simple,Future
সুস্থকর স্ন্যাকস খাও।,Bangla,Simple,Present
"সে কি হাসপাতালে কাজ করে, নাকি সে ক্লিনিকে কাজ করে যেহেতু দুই জায়গাতেই রোগীর যত্ন নেওয়া হয়?",Bangla,Compound-complex,Present
"Listen carefully during the lesson, and ask questions when you don’t understand something.",English,Compound-complex,Present
সে কি রাতের খাবারের পরে বাসন ধোবে?,Bangla,Simple,Future
"I will clean the windows, and I will finish my coffee first, before the sun gets too hot.",English,Compound-complex,Future
What a cool breeze will blow by the lake!,English,Simple,Future
"আজ কুয়াশা কত ঘন, আর সকাল কত রহস্যময় মনে হচ্ছে!",Bangla,Compound,Present
"বিমান কত দ্রুত অবতরণ করে, আর কত মসৃণভাবে ল্যান্ড করে!",Bangla,Compound,Present
"How quickly the leaves fall in autumn when the wind picks up, and what a colorful carpet they make!",English,Compound,Present
"ঘড়ির সময় এক ঘণ্টা পেছনে করো, এবং এলার্ম রিসেট করো।",Bangla,Compound,Present
"তুমি কত সাদা সুপ পরিবেশন করো, আর কত উষ্ণভাবে পেট ভরে!",Bangla,Compound,Present
"Close the gate after entering, and latch it securely, unless someone else is behind you.",English,Compound-complex,Present
What a neat stack of papers you have although you just finished your work!,English,Complex,Present
সে কি গতকাল স্কার্ফ পরেছিল?,Bangla,Simple,Past
নির্দেশনা শোনার সময় মনোযোগ দাও।,Bangla,Simple,Present
সকলেই ঘুমিয়ে পড়লে ঘরটি কত শান্ত হয়!,Bangla,Complex,Present
"Does she watch sports, or does she prefer other entertainment because sports aren’t always interesting?",English,Compound-complex,Present
"I will go to bed, but I will study for my test first.",English,Compound,Future
আমরা আগুনের পাশে কত আরামদায়ক সন্ধ্যা কাটাব!,Bangla,Simple,Future
"আমার বন্ধু কি কাজের জন্য অনেক ভ্রমণ করে, কারণ তার কাজ বিভিন্ন শহরে ঘন ঘন মিটিং করার দাবি করে?",Bangla,Complex,Present
"যাদের সঙ্গে দেখা হয় তাদের দিকে হাসো, আর আন্তরিকভাবে শুভেচ্ছা জানাও যাতে ভালো印প্রেশন হয়।",Bangla,Compound-complex,Present
সে প্রায়ই তার ক্যালেন্ডার চেক করে।,Bangla,Simple,Present
"আমরা কি বসন্তে ফুল লাগাই, নাকি গ্রীষ্ম পর্যন্ত অপেক্ষা করি?",Bangla,Compound,Present
"What a strong bridge crosses the river, and how steady it stands in the wind!",English,Compound,Present
"Does he fix electrical appliances, or does he hire a professional?",English,Compound,Present
What a funny face the clown makes!,English,Simple,Present
"মুভির সময় কথা বলা এড়াও যাতে সবাই মজা পায়, আর মুভি শুরু হওয়ার আগে ফোন সাইলেন্ট করো।",Bangla,Compound-complex,Present
Do they live in a big city?,English,Simple,Present
আমরা ছুটির সময় গান গাই।,Bangla,Simple,Present
"স্কুল যাওয়ার আগে কুকুরটাকে খাওয়াও, এবং তার পাত্রে পানি ভরো যাতে সে পিপাসা পায় না।",Bangla,Compound-complex,Present
What a warm smile he will share!,English,Simple,Future
I will call you when I arrive.,English,Simple,Future
"What a tasty smoothie you blend, and how refreshing it tastes on a warm morning!",English,Compound,Present
বিড়ালটি উষ্ণ কম্বলেই ঘুমায়।,Bangla,Simple,Present
"I organize my desk every day because it helps me stay focused, and I work more efficiently as a result.",English,Compound-complex,Present
"She will paint a picture this afternoon because she wants to improve her skills, and she will enter it in a contest.",English,Compound-complex,Future
"আমরা গত সপ্তাহান্তে আমাদের বিবাহ বার্ষিকী উদযাপন করেছিলাম, কারণ সেটা একটি বিশেষ দিন ছিল।",Bangla,Compound,Past
"বৃষ্টি হলে ছাতা নেওয়া ভুলবে না, এবং বাড়ি থেকে বের হওয়ার আগে আবহাওয়ার পূর্বাভাস দেখে নাও।",Bangla,Compound-complex,Present
বাচ্চাটি দিনের বেলা ঘুমায় যখন বাকিরা ব্যস্ত থাকে।,Bangla,Complex,Present
"She will paint the fence next weekend because it needs a fresh coat, and she will ask for help from her neighbors.",English,Compound-complex,Future
প্রতিদিন সকালে চুল ব্রাশ করো।,Bangla,Simple,Present
She will take a photography class.,English,Simple,Future
Eat slowly and enjoy your food.,English,Simple,Present
You will please close your laptop after use.,English,Simple,Future
"সে কি রাতে বই পড়ে, নাকি দিনের বেলায় পড়ে?",Bangla,Compound,Present
She bakes bread every weekend because her family loves it.,English,Complex,Present
"The children laughed at the funny clown, for he made silly faces.",English,Compound,Past
"Do they travel by plane, or do they use other transportation when it’s a short distance?",English,Compound-complex,Present
"Write your homework down, and double-check it unless you're absolutely sure.",English,Compound-complex,Present
"I want to relax, so I light a candle in the evening.",English,Compound,Present
He will study late since he has an important test tomorrow.,English,Complex,Future
"ut your coat on when it’s cold, so you stay warm.",English,Complex,Present
"হাওয়া শক্ত হলেও হ্রদ কত শান্তভাবে আকাশকে প্রতিফলিত করে, আর এটি কত নিখুঁত দৃষ্টান্ত সৃষ্টি করে!",Bangla,Compound,Present
The cat knocked over the lamp.,English,Simple,Past
ছুটির দিনে আমরা কত চমৎকার একটি ভ্রমণের পরিকল্পনা করব!,Bangla,Simple,Future
"আমরা আনন্দের সঙ্গে উৎসব উদযাপন করি, আর বন্ধুদের আমন্ত্রণ জানাই।",Bangla,Compound,Present
Eat fruits and vegetables every day.,English,Simple,Present
বিকেলে কি বৃষ্টি হয়?,Bangla,Simple,Present
তুমি তোমার ব্যাগ মেঝেতে ছুঁড়ে ফেলবে না।,Bangla,Simple,Future
Did you play the guitar at the party?,English,Simple,Past
সে কি কেক বেক করবে?,Bangla,Simple,Future
ঘুমানোর আগে “শুভরাত্রি” বলো যাতে দিনটি সুন্দরভাবে শেষ হয়।,Bangla,Complex,Present
"তুমি কত সুন্দর স্কার্ফ বুনেছো, আর কত উষ্ণ দস্তানা তৈরি করেছো!",Bangla,Compound,Present
"সে কি প্রতিদিন পিয়ানো অনুশীলন করে, নাকি ফাঁকা সময়ে মাঝে মাঝে করে?",Bangla,Compound-complex,Present
"She chose a book from the shelf, and it had a pretty cover.",English,Compound,Past
"তারা সকালে পৌঁছেছে, তাই তারা শনিবার শহরটি ঘুরবে।",Bangla,Compound,Future
আমরা বাগানে ফুল লাগাব।,Bangla,Simple,Future
শিশুটিকে শান্তভাবে ঘুমাতে সাহায্য করো।,Bangla,Simple,Present
"কত ধারালো ছুরি তুমি ব্যবহার করো যখন খাবার তৈরি করো, আর কত সহজে এটি সবচেয়ে শক্ত উপকরণ কেটে ফেলে যা রান্না দ্রুত করে তোলে!",Bangla,Compound-complex,Present
সে কী সুন্দর হাসি দিল!,Bangla,Simple,Past
What a funny movie I saw!,English,Simple,Past
সে কি সপ্তাহান্তে তার গাড়ি পরিষ্কার করে?,Bangla,Simple,Present
We will watch the sunrise on vacation.,English,Simple,Future
The children laugh at funny movies.,English,Simple,Present
"My cousin lives in another city, and I will visit him next month.",English,Compound,Future
"বাস এখানে থামবে, কিন্তু রাশ আওয়ার ট্রাফিক থাকলে এটি দেরি করে আসতে পারে।",Bangla,Compound-complex,Future
"বয়োজ্যেষ্ঠদের প্রতি সম্মান দেখাও কারণ এটা ভালো ভদ্রতা প্রদর্শন করে, এবং তাদের পরামর্শ মনোযোগ দিয়ে শোনো।",Bangla,Compound-complex,Present
"Pick up your clothes from the floor, and put them in the hamper if they’re dirty.",English,Compound-complex,Present
You will not forget to submit the form.,English,Simple,Future
What a lovely song she sang!,English,Simple,Past
"We played cards, and we spent the whole evening doing it.",English,Compound,Past
They played basketball after school.,English,Simple,Past
তুমি কি জানো সে কি ইতালীয় খাবার রান্না করে?,Bangla,Complex,Present
"Check your bank balance regularly, and update your budget accordingly.",English,Compound,Present
What a lovely walk we will take in the park this afternoon!,English,Simple,Future
"আমি গত রাতে স্যুটকেস গুছিয়েছিলাম কারণ পরদিন সকালে আমাকে বের হতে হতো, এবং সব কিছু দু'বার চেক করেছিলাম।",Bangla,Compound-complex,Past
"তারা মাটি প্রস্তুত করে, এবং ঠান্ডা গেলে বাগানে ফুল গাছ লাগায়।",Bangla,Compound-complex,Present
Did you finish your homework on time?,English,Simple,Past
"আমরা পার্টির জন্য কুকি বেক করব, এবং আমরা ঘর সজ্জিত করব।",Bangla,Compound,Future
Teach yoga on Saturdays and help your students relax.,English,Compound,Present
How amazing that place was!,English,Simple,Past
শহর পরিকল্পনাটি অনুমোদন করলেই তারা একটি নতুন খেলার মাঠ তৈরি করবে।,Bangla,Complex,Future
"ক্লাসে মন দিয়ে শোনো, আর কিছু না বুঝলে প্রশ্ন করো।",Bangla,Compound-complex,Present
"তারা স্কুল শেষে মাঠ ফাঁকা থাকলে ফুটবল খেলে, এবং জয়ের জন্য উৎসাহের সঙ্গে প্রতিযোগিতা করে।",Bangla,Compound-complex,Present
She writes poems in her notebook.,English,Simple,Present
"We ate popcorn, and we watched a movie while sitting on the couch.",English,Compound-complex,Past
I organize my desk every day.,English,Simple,Present
"নতুন লোকদের সঙ্গে দেখা হলে হাসিখুশি ও বন্ধুসুলভ হও, আর ভদ্রভাবে নিজের পরিচয় দাও।",Bangla,Compound-complex,Present
সে কাজে যাওয়ার আগে তার পরিবারের জন্য সকালের খাবার রান্না করেছিল।,Bangla,Complex,Past
"Bake cookies every weekend, which fills the house with a wonderful smell.",English,Complex,Present
"আমি প্রতিদিন সকালে পানি খাব, আর ফলও খাব কারণ আমি সুস্থ থাকতে চাই।",Bangla,Compound-complex,Future
তোমার কি একটি সাইকেল আছে?,Bangla,Simple,Present
"The children will draw pictures at the art festival while the music plays, and their parents will watch nearby.",English,Compound-complex,Future
Take notes during the lecture to help you remember key points.,English,Complex,Present
"The dog barks at the mailman, and it scares him away.",English,Compound,Present
How will you celebrate your birthday?,English,Simple,Future
He drove to work early this morning since there was little traffic.,English,Complex,Past
"অতিথিরা আসবে, তাই তারা ঘর পরিষ্কার করবে।",Bangla,Compound,Future
"They listen to jazz music, and they cook dinner.",English,Compound,Present
What a peaceful walk we will take through the park!,English,Simple,Future
You will please double-check your answers.,English,Simple,Future
সে তার ডায়রিতে কী লিখেছিল?,Bangla,Simple,Past
"Write your homework in your notebook, and double-check your answers.",English,Compound,Present
She will join the dance class after she finishes her other activities next week.,English,Complex,Future
"সে প্রায়ই তার ক্যালেন্ডার দেখে, যেন কোনো অ্যাপয়েন্টমেন্ট মিস না হয়।",Bangla,Compound,Present
"সাইকেল আরোহী কত দ্রুত চলে, এবং কত স্থির থাকে রাস্তার ওপর!",Bangla,Compound,Present
You will not post anything inappropriate online.,English,Simple,Future
What did he eat for lunch yesterday?,English,Simple,Past
"They went fishing early in the morning, and the sun had not yet risen.",English,Compound,Past
"Say “thank you” when you receive help, and smile because kindness matters.",English,Compound-complex,Present
"সে সুস্বাদু খাবার রান্না করে, কিন্তু সে প্রায়ই ক্লান্ত থাকে।",Bangla,Compound,Present
"ট্রেন সকাল ৯টায় ছেড়ে গিয়েছিল, কিন্তু প্রায়ই দেরি করে পৌঁছাত।",Bangla,Compound,Past
আমরা হালকা বৃষ্টি হলেও পার্কে আমাদের কুকুরটিকে হাঁটতে নিয়ে যাই।,Bangla,Complex,Present
She loved animals.,English,Simple,Past
Take your jacket when it’s cold outside to stay warm.,English,Complex,Present
You will please keep your workspace tidy.,English,Simple,Future
What a clear sky we saw last night!,English,Simple,Past
ঘর ছাড়ার সময় লাইট বন্ধ করো যাতে বিদ্যুৎ সাশ্রয় হয়।,Bangla,Complex,Present
তুমি তোমার দায়িত্ব অগ্রাহ্য করবে না।,Bangla,Simple,Future
রাতে তুষারপাতটা কত নিঃশব্দে পড়ে!,Bangla,Simple,Present
"তৃষ্ণা পেলে পানি খাও, আর বের হওয়ার আগে বোতলটা ভরে নাও।",Bangla,Compound-complex,Present
ব্যায়ামের পরে জল পান করো যাতে তোমার শরীর হাইড্রেটেড থাকে।,Bangla,Complex,Present
তুমি কারো ভুল নিয়ে হাসবে না।,Bangla,Simple,Future
What a magnificent garden we will cultivate!,English,Simple,Future
You will please bake a cake for the party.,English,Simple,Future
"She opened the window for fresh air since the room was stuffy, and she enjoyed the cool breeze that came in.",English,Compound-complex,Past
আমরা রবিবারে ঘর পরিষ্কার করতাম।,Bangla,Simple,Past
জলাশয়ের পৃষ্ঠ কত মসৃণ!,Bangla,Simple,Present
"ফিসফিসে মেঝেতে দৌড়াও না, কিন্তু তাড়াহুড়ো করলেও সাবধানে হাঁটো।",Bangla,Compound-complex,Present
Do you know if the dog likes swimming?,English,Complex,Present
The baby slept peacefully despite the noise outside.,English,Complex,Past
Remember to take your umbrella if it looks like rain.,English,Complex,Present
"আমি নিয়মিত আমার ডেস্ক গোছাই, যাতে আমি বেশি কার্যকরভাবে কাজ করতে পারি।",Bangla,Compound,Present
What a funny movie we will watch tonight!,English,Simple,Future
"সে কি গয়না পরে, না কি গয়না পরা এড়িয়ে চলে?",Bangla,Compound,Present
Where will they have dinner?,English,Simple,Future
"সে কি স্কুলে যাওয়ার জন্য বাস নেয়, না কি কখনো হাঁটে যদি আবহাওয়া ভালো থাকে কারণ সে তাজা বাতাস উপভোগ করে?",Bangla,Compound-complex,Present
সে প্রতিদিন পিয়ানো অনুশীলন করে।,Bangla,Simple,Present
আমরা বাড়িতে বড়দিন উদযাপন করেছিলাম।,Bangla,Simple,Past
শরতে পার্ক কত সুন্দর দেখাবে!,Bangla,Simple,Future
You will please attend the concert with us.,English,Simple,Future
"গাড়িটি কত নোংরা, ধোয়ার প্রয়োজন, আর ধোয়ার পরে কত পরিবর্তন আসবে!",Bangla,Compound,Present
"The cat chased a mouse, and it ran across the kitchen floor while we watched quietly.",English,Compound-complex,Past
I painted my bedroom walls.,English,Simple,Past
Wash the dishes after eating.,English,Simple,Present
"সে রাতের খাবারের পরে টিভি দেখত, এবং তার প্রিয় শো চালু হলে জোরে হাসত।",Bangla,Compound-complex,Past
He cleaned his car last weekend.,English,Simple,Past
"ঘড়ির কাঁটা কত দ্রুত চলছে, আর দিন কত দ্রুত কাটছে!",Bangla,Compound,Present
"Read a chapter of your book daily, and underline any difficult words as you go.",English,Compound-complex,Present
You will please work at a hospital.,English,Simple,Future
You will please register for the class today.,English,Simple,Future
তৃষ্ণা পেলে পানি খাও।,Bangla,Simple,Present
আজ কি বাতাস প্রবলভাবে বয়ে যাচ্ছে?,Bangla,Simple,Present
What a sharp sound the alarm made!,English,Simple,Past
"সে শীতে লাল জ্যাকেট পরে, আর এটি তাকে খুব গরম রাখে।",Bangla,Compound,Present
আমি পরিবারের জন্য একটি পাই বেক করেছিলাম।,Bangla,Simple,Past
সাইকেল আরোহী বাতাসের বিপরীতে কত দ্রুত প্যাডেল চালায়!,Bangla,Complex,Present
"We celebrated Christmas at home because we didn’t travel, and we made our own decorations.",English,Compound-complex,Past
"সে শনিবার গ্যারেজ পরিষ্কার করে, এবং যন্ত্রপাতি সাজায় কারণ সে শৃঙ্খলা পছন্দ করে।",Bangla,Compound-complex,Present
একটি রঙিন পদযাত্রা পাশ দিয়ে গেল!,Bangla,Simple,Past
তারা পরীক্ষা আগে কত ভালভাবে একসাথে পড়াশোনা করবে!,Bangla,Simple,Future
"আমি সকালে কফি খেতে খেতে সংবাদপত্র পড়ি, এবং সহকর্মীদের সঙ্গে খবর নিয়ে আলোচনা করি।",Bangla,Compound-complex,Present
"She drives to the office every day, and she arrives early because she avoids traffic.",English,Compound-complex,Present
"They bought tickets to the concert even though it was expensive, and they said it was worth it.",English,Compound-complex,Past
"সে একটি নতুন ক্লাবে যোগ দেবে, এবং সেমেস্টার শীঘ্রই শুরু হবে।",Bangla,Compound,Future
"ফুলগুলো কি বসন্তে ফোটে, আর কি তা গ্রীষ্ম পর্যন্ত থাকে?",Bangla,Compound,Present
"How gently the leaves rustle, and how peacefully the wind blows through the trees!",English,Compound,Present
"সে প্রতিদিন সকালে কফি খায়, এবং সে চশমা পরেন।",Bangla,Compound,Present
"দিনভর নিয়মিত পানি খাও, আর পানির বোতল ভরে রাখো যেন হাইড্রেটেড থাকতে পারো।",Bangla,Compound-complex,Present
সুন্দর ফুলের ডালে ঝুলে থাকা ফলের মিষ্টি গন্ধটি নাক দিয়ে গ্রহণ করো!,Bangla,Complex,Present
"How brightly the city lights shine, but how peaceful the park is nearby, even though the hustle and bustle never seems to stop!",English,Compound-complex,Present
Keep your room organized so you can find things easily.,English,Complex,Present
"Does she eat vegetables every day, but does she also eat sweets?",English,Compound,Present
How loud the thunder roars!,English,Simple,Present
ঘরটি কত উজ্জ্বলভাবে আলোকিত হল!,Bangla,Simple,Past
"How strong the coffee tastes this morning since it was brewed dark, and how quickly it wakes you up although you slept well!",English,Compound-complex,Present
"আমার একটি রিপোর্ট জমা দিতে হবে, এবং আমি আমার ক্লাসের জন্য এটি লিখব।",Bangla,Compound,Future
বরফটা কত মৃদুভাবে পড়ছে!,Bangla,Simple,Present
আগামীকাল আবহাওয়া কেমন হবে?,Bangla,Simple,Future
"সে পার্টির জন্য পাই বানাবে, এবং একটু ঠাণ্ডা হলে গরম গরম পরিবেশন করবে।",Bangla,Compound-complex,Future
স্পিকারগুলো চালু করলে সংগীত কত জোরে শোনায়!,Bangla,Complex,Present
"I enjoy hiking in the mountains, and the air is fresh.",English,Compound,Present
"What a warm smile lights her face, although the day had been long and tiring!",English,Complex,Present
"I organize my schedule weekly, so I don’t forget important tasks.",English,Compound,Present
Will he paint the house next week?,English,Simple,Future
তোমার ডেস্ক গুছিয়ে রাখো যাতে আরও দক্ষভাবে কাজ করতে পারো।,Bangla,Complex,Present
রাস্তা উঁচু হলেও সাইক্লিস্ট কতটা দ্রুত চলে!,Bangla,Complex,Present
"শিক্ষক পরীক্ষার কাগজ বিতরণ করেছিলেন, এবং ছাত্ররা প্রশ্নগুলো দেখে নার্ভাস হয়ে পড়েছিল।",Bangla,Compound-complex,Past
Did the teacher give homework yesterday?,English,Simple,Past
You will please bake cookies every weekend.,English,Simple,Future
"I forgot my umbrella at home although the forecast said it would rain, and I got soaked.",English,Compound-complex,Past
You will not leave your towel on the bathroom floor.,English,Simple,Future
আমি প্রতি সপ্তাহে আমার সময়সূচি গোছাই যাতে গুরুত্বপূর্ণ কাজ ভুলে না যাই।,Bangla,Complex,Present
"ব্যবহারের পর কল বন্ধ করে দাও, এবং পানি সাশ্রয় করো।",Bangla,Compound,Present
"Close the fridge door tightly, and check that it’s sealed.",English,Compound,Present
Do you know whether he reads the newspaper every day?,English,Complex,Present
How quietly the owl hooted at night!,English,Simple,Past
আমার বন্ধু কাজের জন্য অনেক ভ্রমণ করবে।,Bangla,Simple,Future
"শিশুটি কত মিষ্টি গায়, এবং সঙ্গীত কত নরম বাজে!",Bangla,Compound,Present
শরতের সময় গাছ থেকে পাতাগুলো কত কোমলভাবে ঝরে পড়ে!,Bangla,Complex,Present
তারা কি আগামীকাল সকার খেলবে?,Bangla,Simple,Future
How cold it will get in December!,English,Simple,Future
একটি নরম কম্বল আমাদের কত উষ্ণ রাখবে!,Bangla,Simple,Future
"এই শান্তিপূর্ণ বাগানটা কত রঙিন, আর বন্য মৌমাছির তৈরি মধুটি কত মিষ্টি!",Bangla,Compound,Present
শিশুটি মেঝে বরাবর সরকছিল।,Bangla,Simple,Past
"আমি আমার নোটবুকে নোট লিখছিলাম, এবং শিক্ষক বোর্ডে লিখতে লিখতে বিষয়টি ব্যাখ্যা করছিলেন।",Bangla,Compound-complex,Past
My cousin speaks three languages because she lived in different countries.,English,Complex,Present
জোনাকিগুলো কত উজ্জ্বলভাবে জ্বলছে!,Bangla,Simple,Present
সূর্য আমাদের মুখে কত উষ্ণ অনুভব করাবে!,Bangla,Simple,Future
"He took the bus to school, but sometimes he missed it.",English,Compound,Past
"হোমওয়ার্ক ফোল্ডারে রাখো, এবং সময়মতো জমা দাও।",Bangla,Compound,Present
Can you tell me whether you visit museums on holidays?,English,Complex,Present
তুমি প্রতিরাতে কী পড়বে?,Bangla,Simple,Future
"How clear the stars shine when the city lights fade away, and how magical the night sky looks in the countryside, which makes me feel peaceful!",English,Compound-complex,Present
"কত শান্ত সমুদ্র আমাদের সামনে প্রসারিত, আর কত শান্ত মুহূর্ত বোধ হয়, যদিও দূরে ঢেউগুলো জোরে টেনেছে!",Bangla,Compound-complex,Present
"এই উর্বর মাটিতে গাছ কী ভালো বেড়ে ওঠে, আর বাগান পুরো ঋতু জুড়ে কী সবুজ থাকে!",Bangla,Compound-complex,Present
"আমরা কি রাতের খাবারের পর হাঁটতে যাই, নাকি খুব ঠান্ডা হলে ভেতরে থাকি?",Bangla,Compound-complex,Present
"He will listen to podcasts while commuting, to make the most of his travel time.",English,Complex,Future
Does she write emails every morning?,English,Simple,Present
"She waters her plants every afternoon, so they don’t dry out.",English,Compound,Present
"How clear the mountain air feels, and how pure the water tastes!",English,Compound,Present
"The baby claps, and she does so when excited or happy.",English,Compound,Present
"Does he practice yoga, or does he do other exercises?",English,Compound,Present
"আমি আজ রাতে আমার বক্তৃতার অনুশীলন করব যদিও আমি নার্ভাস, তবে আমি আত্মবিশ্বাস আসা পর্যন্ত চেষ্টা চালিয়ে যাব।",Bangla,Compound-complex,Future
"What a big house, and how grand it appears!",English,Compound,Present
"Close the fridge door after use, and make sure it’s sealed so the food stays fresh.",English,Compound-complex,Present
"আমরা কি সন্ধ্যায় দৌড়াতে যাই, নাকি অন্য সময় ব্যায়াম করি?",Bangla,Compound,Present
"আমরা মাঝে মাঝে আমাদের খাবার ভাগ করি, বিশেষ করে যখন কেউ খাবার আনতে ভুলে যায়।",Bangla,Complex,Present
চিড়িয়াখানায় আমরা কত সুন্দর একটি দিন কাটাব!,Bangla,Simple,Future
"তুমি কি স্পোর্টস দেখা পছন্দ করো, নাকি আরাম করার সময় অন্য শখ পছন্দ করো?",Bangla,Compound-complex,Present
আমার বাবা-মা প্রতি রাতে কত চমৎকার রান্না করত!,Bangla,Simple,Past
সে তার গাড়িটি কোথায় পার্ক করেছিল?,Bangla,Simple,Past
"What a fast runner he is although he just recovered from an injury, and how confidently he races!",English,Compound,Present
How smoothly the ice skater glides!,English,Simple,Present
"Does the dog like playing fetch, or does it prefer other games although fetch is fun?",English,Compound-complex,Present
"আমরা তার জন্মদিন আগামী শুক্রবার উদযাপন করব কারণ এটি একটি বিশেষ দিন, এবং আমরা তার সব বন্ধুদের আমন্ত্রণ জানাব।",Bangla,Compound-complex,Future
সে ঘুমাতে যাওয়ার আগে একটি বই পড়বে।,Bangla,Simple,Future
"বাস এখানেই থামাও, আর সবাই উঠা পর্যন্ত অপেক্ষা করো, যদি না দেরি হয়ে যায়।",Bangla,Compound-complex,Present
"সে প্রতিদিন সকালে গাছগুলোকে জল দেয়, এবং তারা ভালোভাবে বেড়ে ওঠে কারণ সে তাদের ভালো করে যত্ন নেয়।",Bangla,Compound-complex,Present
তোমার ফাঁকা সময়ে বাবা-মার কাজে সাহায্য করো।,Bangla,Complex,Present
তুমি অনুমোদন ছাড়া অ্যাপ ইনস্টল করবে না।,Bangla,Simple,Future
"সে লিভিং রুমের দেয়াল রাঙাবে, কিন্তু এটা সারাদিন সময় নিতে পারে।",Bangla,Compound,Future
তারা সন্ধ্যায় তাদের কুকুরকে হাঁটায়।,Bangla,Simple,Present
Drink the coffee and notice how strong the flavor you brewed this morning is!,English,Complex,Present
Do you know whether we have meetings every Monday?,English,Complex,Present
"সে খুবই বন্ধুসুলভ, তাই সে যাকে দেখে তাকেই হাসে।",Bangla,Compound,Present
পরের গ্রীষ্মে স্কুল ছুটি হলে তারা স্পেনে ভ্রমণ করবে।,Bangla,Complex,Future
"Use your calendar to stay organized, and set reminders for key tasks.",English,Compound,Present
শিশুটি তার বোতল শক্ত করে ধরে রেখেছিল।,Bangla,Simple,Past
"সে বৃষ্টির শব্দ শুনছিল, এবং জানালার পাশে বসে তার বই পড়ছিল।",Bangla,Compound-complex,Past
"সে তার কুকুরকে হাঁটাতে নিয়ে যাবে, এবং যদি আবহাওয়া ভাল থাকে তবে পার্কেও যাবে।",Bangla,Compound-complex,Future
তুমি রাতের খাবারের আগে লুকিয়ে স্ন্যাক্স খাবে না।,Bangla,Simple,Future
"আকাশ কালো হলে তারা কত উজ্জ্বল জ্বলছে, আর পৃথিবী ঘুমিয়ে পড়ার সময় তারা কত অনবরত ঝিকিমিকি করছে!",Bangla,Compound-complex,Present
তারা কি ফরাসি ভাষায় بطلاقة কথা বলত?,Bangla,Simple,Past
What a loud cheer fills the stadium when the home team wins!,English,Complex,Present
What a beautiful flower!,English,Simple,Present
"Does she practice piano daily, or does she practice only occasionally when she’s free?",English,Compound-complex,Present
"Be on time for meetings, because punctuality shows respect, and avoid being late.",English,Compound,Present
The mail arrives in the afternoon when the postman finishes his route.,English,Complex,Present
"Brush your hair every morning, and tie it back if it’s long so it doesn’t get messy.",English,Compound-complex,Present
